Date,SumofAnnualCOemissions
01-01-1751,28051584
01-01-1752,28062576
01-01-1753,28062576
01-01-1754,28073568
01-01-1755,28084560
01-01-1756,30019152
01-01-1757,30030144
01-01-1758,30041136
01-01-1759,30052128
01-01-1760,30052128
01-01-1761,32921040
01-01-1762,32932032
01-01-1763,32943024
01-01-1764,32954016
01-01-1765,32965008
01-01-1766,36779232
01-01-1767,36790224
01-01-1768,36801216
01-01-1769,36812208
01-01-1770,36823200
01-01-1771,40835280
01-01-1772,40846272
01-01-1773,40857264
01-01-1774,40868256
01-01-1775,40879248
01-01-1776,45111168
01-01-1777,45122160
01-01-1778,45133152
01-01-1779,45144144
01-01-1780,45166128
01-01-1781,50530224
01-01-1782,50541216
01-01-1783,50563200
01-01-1784,50574192
01-01-1785,50607168
01-01-1786,57455184
01-01-1787,57477168
01-01-1788,57488160
01-01-1789,57510144
01-01-1790,57532128
01-01-1791,64259232
01-01-1792,65688192
01-01-1793,65743152
01-01-1794,65644224
01-01-1795,65677200
01-01-1796,68853888
01-01-1797,72283392
01-01-1798,75284208
01-01-1799,79285296
01-01-1800,84022848
01-01-1801,83612480
01-01-1802,110059232
01-01-1803,94168464
01-01-1804,102595664
01-01-1805,99917280
01-01-1806,104805056
01-01-1807,110246096
01-01-1808,104801392
01-01-1809,104867344
01-01-1810,111722688
01-01-1811,118299568
01-01-1812,122538816
01-01-1813,123139712
01-01-1814,125825424
01-01-1815,129863152
01-01-1816,142331744
01-01-1817,147574928
01-01-1818,148150176
01-01-1819,149080832
01-01-1820,151271904
01-01-1821,153477632
01-01-1822,159530560
01-01-1823,168749184
01-01-1824,174560288
01-01-1825,181133504
01-01-1826,182943520
01-01-1827,196298800
01-01-1828,198317664
01-01-1829,197390672
01-01-1830,265269936
01-01-1831,251299104
01-01-1832,252295712
01-01-1833,256875712
01-01-1834,262074928
01-01-1835,267021328
01-01-1836,309593344
01-01-1837,308768944
01-01-1838,319097760
01-01-1839,329320320
01-01-1840,350919600
01-01-1841,361640464
01-01-1842,381590944
01-01-1843,390798576
01-01-1844,414973648
01-01-1845,454431264
01-01-1846,460674720
01-01-1847,502132880
01-01-1848,504661040
01-01-1849,532313248
01-01-1850,570777920
01-01-1851,571719568
01-01-1852,595814032
01-01-1853,621359440
01-01-1854,732133152
01-01-1855,741850080
01-01-1856,791654832
01-01-1857,798407584
01-01-1858,810256960
01-01-1859,857925600
01-01-1860,944014944
01-01-1861,996816848
01-01-1862,1014121920
01-01-1863,1078150320
01-01-1864,1161880048
01-01-1865,1237413408
01-01-1866,1276119904
01-01-1867,1359369648
01-01-1868,1389128656
01-01-1869,1468197776
01-01-1870,1497139712
01-01-1871,1592590576
01-01-1872,1750116928
01-01-1873,1854705808
01-01-1874,1731269312
01-01-1875,1887634176
01-01-1876,1918448416
01-01-1877,1944924480
01-01-1878,1958620512
01-01-1879,2078832688
01-01-1880,2350052960
01-01-1881,2424692304
01-01-1882,2547044256
01-01-1883,2703522704
01-01-1884,2724293920
01-01-1885,2741859136
01-01-1886,2773831200
01-01-1887,2907285072
01-01-1888,3186562480
01-01-1889,3222641888
01-01-1890,3474794704
01-01-1891,3627792352
01-01-1892,3623739968
01-01-1893,3565039024
01-01-1894,3734803136
01-01-1895,3926379040
01-01-1896,4069458240
01-01-1897,4260480880
01-01-1898,4472289392
01-01-1899,4851964064
